,Note that Apple returns only start in 1981!,,,,,,,,,
,,,,,,,,,,
,,,CAPM factor,incl. in FF3,incl. in FF3,incl. in FF5,incl. in FF5,,,
Month,AAPL return,RF,Mkt-RF,SMB,HML,RMW,CMA,,,
201104,0.47,0,2.9,-0.51,-2.51,1,-0.83,,,
201105,-0.66,0,-1.27,-0.69,-2.06,1.98,-1.49,,,
201106,-3.50,0,-1.75,0.09,-0.31,2.3,-1.46,,,
201107,16.33,0,-2.36,-1.28,-1.23,2.6,-1.82,,,
201108,-1.45,0.01,-5.99,-3.21,-2.44,3.13,-0.21,,,
201109,-0.91,0,-7.59,-3.72,-1.46,2,0.24,,,
201110,6.15,0,11.35,3.54,-0.17,-1.96,-0.87,,,
201111,-5.58,0,-0.28,-0.27,-0.35,1.7,1.53,,,
201112,5.97,0,0.74,-0.45,1.74,0.89,2.39,,,
201201,12.71,0,5.05,2.14,-1.09,-1.82,-1.4,,,
201202,18.83,0,4.42,-1.62,0.09,-0.17,-0.06,,,
201203,10.53,0,3.11,-0.46,0.87,-0.48,0.79,,,
201204,-2.60,0,-0.85,-0.58,-0.47,1.2,0.66,,,
201205,-1.07,0.01,-6.19,-0.08,-0.62,2.27,2.37,,,
201206,1.09,0,3.89,0.95,0.44,-1.37,0.34,,,
201207,4.58,0,0.79,-2.69,-0.25,0.77,0.12,,,
201208,9.35,0.01,2.55,0.45,1.28,-1.34,-0.74,,,
201209,0.28,0.01,2.73,0.69,1.52,-1.08,1.62,,,
201210,-10.76,0.01,-1.76,-0.81,3.79,-1.47,2.26,,,
201211,-1.24,0.01,0.78,0.32,-0.96,0.35,0.9,,,
201212,-9.07,0.01,1.18,1.91,3.55,-1.69,0.87,,,
201301,-14.41,0,5.57,0.52,0.92,-1.93,1.5,,,
201302,-2.51,0,1.29,-0.37,0,-0.59,0.46,,,
201303,0.29,0,4.03,0.82,-0.26,0.3,1.35,,,
201304,0.03,0,1.55,-2.3,0.59,0.18,0.44,,,
201305,2.26,0,2.8,2.09,2.55,-1.69,-0.77,,,
201306,-11.83,0,-1.2,1.39,-0.19,-0.34,-0.06,,,
201307,14.12,0,5.65,1.78,0.55,-1.55,0.54,,,
201308,8.34,0,-2.71,0.01,-2.78,0.75,-2.16,,,
201309,-2.15,0,3.77,2.71,-1.18,-0.59,-1.29,,,
201310,9.64,0,4.18,-1.48,1.15,2.92,0.91,,,
201311,6.97,0,3.12,1.36,0.24,0.3,0.09,,,
201312,0.89,0,2.81,-0.52,-0.3,-0.49,0.07,,,
201401,-10.77,0,-3.32,0.6,-2.08,-3.71,-1.35,,,
201402,5.73,0,4.65,0.13,-0.39,-0.41,-0.44,,,
201403,2.00,0,0.43,-1.18,5.09,1.99,1.9,,,
201404,9.94,0,-0.19,-4.14,1.14,3.61,1.03,,,
201405,7.83,0,2.06,-1.84,-0.26,0.33,-1.08,,,
201406,2.77,0,2.61,3.08,-0.74,-1.9,-1.95,,,
201407,2.87,0,-2.04,-4.25,0.01,1.01,0.48,,,
201408,7.71,0,4.24,0.3,-0.57,-0.5,-0.65,,,
201409,-1.71,0,-1.97,-3.78,-1.22,0.96,-0.53,,,
201410,7.20,0,2.52,3.78,-1.69,-0.65,-0.14,,,
201411,10.56,0,2.55,-2.26,-2.99,1.45,0.2,,,
201412,-7.19,0,-0.06,2.84,2.07,-1.38,0.89,,,
201501,6.14,0,-3.11,-0.86,-3.47,1.54,-1.68,,,
201502,10.05,0,6.13,0.24,-1.77,-1.09,-1.69,,,
201503,-3.14,0,-1.12,3.08,-0.45,0.11,-0.53,,,
201504,0.58,0,0.59,-3.02,1.85,0.03,-0.54,,,
201505,4.51,0,1.36,0.82,-1.33,-1.83,-0.7,,,
201506,-3.73,0,-1.53,2.83,-0.81,0.37,-1.5,,,
201507,-3.29,0,1.54,-4.57,-4.14,-0.3,-2.61,,,
201508,-6.61,0,-6.04,0.4,2.69,0.63,1.25,,,
201509,-2.18,0,-3.08,-2.83,0.53,1.38,-0.52,,,
201510,8.34,0,7.75,-2.16,-0.09,0.9,0.44,,,
201511,-0.57,0,0.56,3.36,-0.51,-2.75,-1.07,,,
201512,-11.02,0.01,-2.17,-2.98,-2.57,-0.04,0.12,,,
201601,-7.52,0.01,-5.77,-3.51,2.1,2.28,3.01,,,
201602,-0.13,0.02,-0.07,0.92,-0.48,3.22,2.12,,,
201603,12.72,0.02,6.96,1.14,1.14,1.08,-0.01,,,
201604,-13.99,0.01,0.92,1.18,3.25,-2.98,1.94,,,
201605,7.14,0.01,1.78,-0.71,-1.8,-1.23,-2.59,,,
201606,-4.27,0.02,-0.05,0.48,-1.49,1.12,1.93,,,
201607,9.01,0.02,3.95,2.67,-1.13,1.59,-1.27,,,
201608,2.36,0.02,0.5,1.72,3.34,-1.47,-0.35,,,
201609,6.55,0.02,0.25,1.75,-1.49,-1.92,-0.04,,,
201610,0.43,0.02,-2.02,-3.97,4.16,1.24,0.2,,,
201611,-2.16,0.01,4.86,6.81,8.27,-0.5,3.67,,,
201612,4.80,0.03,1.82,0.39,3.61,0.98,-0.25,,,
201701,4.77,0.04,1.94,-1.28,-2.68,0.13,-0.94,,,
201702,13.36,0.04,3.57,-2.14,-1.79,0.62,-1.74,,,
201703,4.87,0.03,0.17,0.81,-3.17,0.83,-1,,,
201704,-0.01,0.05,1.09,0.51,-1.91,2.13,-1.55,,,
201705,6.78,0.06,1.06,-3.07,-3.75,1.32,-1.84,,,
201706,-5.72,0.06,0.78,2.46,1.32,-2.13,-0.06,,,
201707,3.27,0.07,1.87,-1.59,-0.28,-0.58,-0.14,,,
201708,10.69,0.09,0.16,-1.87,-2.26,0.44,-2.44,,,
201709,-6.02,0.09,2.51,4.8,3.02,-1.5,1.64,,,
201710,9.68,0.09,2.25,-1.94,-0.08,1.18,-3.32,,,
201711,2.04,0.08,3.12,-0.39,0.02,3.05,0.04,,,
201712,-1.52,0.09,1.06,-1.04,0.1,0.78,1.62,,,
