Equity,IRR
4500,0.040056748
4128,0.058160635
3756,0.078336789
3384,0.101066294
3012,0.127012013
2640,0.157120942
2268,0.192809059
1896,0.236322783
1524,0.291524192
1152,0.365868984
780,0.476660366
